Id,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
301,ANA,AL,2002,851,644,99,0.341,0.433,0.282,1,3,1,162,0.314,0.392
302,ARI,NL,2002,819,674,98,0.346,0.423,0.267,1,4,4,162,0.305,0.397
303,ATL,NL,2002,708,565,101,0.331,0.409,0.26,1,2,4,161,0.313,0.364
304,BAL,AL,2002,667,773,67,0.309,0.403,0.246,0,,,162,0.336,0.435
305,BOS,AL,2002,859,665,93,0.345,0.444,0.277,0,,,162,0.308,0.385
306,CHC,NL,2002,706,759,67,0.321,0.413,0.246,0,,,162,0.331,0.407
307,CHW,AL,2002,856,798,81,0.338,0.449,0.268,0,,,162,0.33,0.423
308,CIN,NL,2002,709,774,78,0.33,0.408,0.253,0,,,162,0.338,0.426
309,CLE,AL,2002,739,837,74,0.321,0.412,0.249,0,,,162,0.348,0.423
310,COL,NL,2002,778,898,73,0.337,0.423,0.274,0,,,162,0.349,0.466
311,DET,AL,2002,575,864,55,0.3,0.379,0.248,0,,,161,0.343,0.455
312,FLA,NL,2002,699,763,79,0.337,0.403,0.261,0,,,162,0.341,0.415
313,HOU,NL,2002,749,695,84,0.338,0.417,0.262,0,,,162,0.33,0.41
314,KCR,AL,2002,737,891,62,0.323,0.398,0.256,0,,,162,0.349,0.464
315,LAD,NL,2002,713,643,92,0.32,0.409,0.264,0,,,162,0.315,0.387
316,MIL,NL,2002,627,821,56,0.32,0.39,0.253,0,,,162,0.352,0.442
317,MIN,AL,2002,768,712,94,0.332,0.437,0.272,1,7,3,161,0.318,0.421
318,MON,NL,2002,735,718,83,0.334,0.418,0.261,0,,,162,0.329,0.421
319,NYM,NL,2002,690,703,75,0.322,0.395,0.256,0,,,161,0.327,0.403
320,NYY,AL,2002,897,697,103,0.354,0.455,0.275,1,1,4,161,0.309,0.395
321,OAK,AL,2002,800,654,103,0.339,0.432,0.261,1,1,4,162,0.315,0.384
322,PHI,NL,2002,710,724,80,0.339,0.422,0.259,0,,,161,0.328,0.401
323,PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423
324,SDP,NL,2002,662,815,66,0.321,0.381,0.253,0,,,162,0.346,0.442
325,SEA,AL,2002,814,699,93,0.35,0.419,0.275,0,,,162,0.315,0.41
326,SFG,NL,2002,783,616,95,0.344,0.442,0.267,1,6,2,162,0.319,0.372
327,STL,NL,2002,787,648,97,0.338,0.425,0.268,1,5,3,162,0.323,0.386
328,TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,,,161,0.357,0.463
329,TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,,,162,0.355,0.451
330,TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
331,ANA,AL,2001,691,730,75,0.327,0.405,0.261,0,,,162,0.331,0.412
332,ARI,NL,2001,818,677,92,0.341,0.442,0.267,1,5,1,162,0.311,0.404
333,ATL,NL,2001,729,643,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384
334,BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
335,BOS,AL,2001,772,745,82,0.334,0.439,0.266,0,,,161,0.329,0.393
336,CHC,NL,2001,777,701,88,0.336,0.43,0.261,0,,,162,0.321,0.398
337,CHW,AL,2001,798,795,83,0.334,0.451,0.268,0,,,162,0.334,0.427
338,CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
339,CLE,AL,2001,897,821,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417
340,COL,NL,2001,923,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48
341,DET,AL,2001,724,876,66,0.32,0.409,0.26,0,,,162,0.357,0.461
342,FLA,NL,2001,742,744,76,0.326,0.423,0.264,0,,,162,0.338,0.411
343,HOU,NL,2001,847,769,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437
344,KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
345,LAD,NL,2001,758,744,86,0.323,0.425,0.255,0,,,162,0.323,0.411
346,MIL,NL,2001,740,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44
347,MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437
348,MON,NL,2001,670,812,68,0.319,0.396,0.253,0,,,162,0.339,0.441
349,NYM,NL,2001,642,713,82,0.323,0.387,0.249,0,,,162,0.314,0.419
350,NYY,AL,2001,804,713,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398
351,OAK,AL,2001,884,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38
352,PHI,NL,2001,746,719,86,0.329,0.414,0.26,0,,,162,0.329,0.424
353,PIT,NL,2001,657,858,62,0.313,0.393,0.247,0,,,162,0.344,0.433
354,SDP,NL,2001,789,812,79,0.336,0.399,0.252,0,,,162,0.33,0.45
355,SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378
356,SFG,NL,2001,799,748,90,0.342,0.46,0.266,0,,,162,0.329,0.404
