,Docket,Term,Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
1,93-1408,1994,2nd,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
2,93-1577,1994,9th,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
3,93-1612,1994,5th,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
4,94-623,1994,1st,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
5,94-1175,1995,7th,JudicialPower,BUSINESS,BUSINESS,conser,0,1
6,95-129,1995,9th,EconomicActivity,BUSINESS,BUSINESS,conser,1,0
7,95-728,1996,FED,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
8,96-1768,1997,9th,EconomicActivity,BUSINESS,BUSINESS,conser,1,1
9,96-843,1997,DC,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
10,98-1480,1999,11th,CriminalProcedure,BUSINESS,BUSINESS,conser,0,1
11,99-150,1999,2nd,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
12,99-1571,2000,6th,EconomicActivity,BUSINESS,BUSINESS,conser,1,1
13,99-2035,2000,9th,DueProcess,BUSINESS,BUSINESS,liberal,1,1
14,94-788,1994,7th,EconomicActivity,CITY,BUSINESS,liberal,0,0
15,98-1161,1999,3rd,FederalismAndInterstateRelations,CITY,BUSINESS,liberal,0,0
16,96-491,1996,9th,EconomicActivity,EMPLOYEE,BUSINESS,conser,0,1
17,97-1943,1998,10th,CivilRights,EMPLOYEE,BUSINESS,conser,0,1
18,98-208,1998,DC,EconomicActivity,EMPLOYEE,BUSINESS,conser,0,1
19,00-1853,2001,2nd,CivilRights,EMPLOYEE,BUSINESS,conser,0,1
20,95-1872,1996,8th,CivilRights,AMERICAN.INDIAN,BUSINESS,conser,0,0
21,97-1704,1998,5th,JudicialPower,INJURED.PERSON,BUSINESS,liberal,1,0
22,97-53,1998,6th,JudicialPower,INJURED.PERSON,BUSINESS,conser,0,1
23,98-1811,1999,DC,FederalismAndInterstateRelations,INJURED.PERSON,BUSINESS,liberal,0,1
24,99-161,1999,8th,JudicialPower,INJURED.PERSON,BUSINESS,conser,1,0
25,94-1244,1995,9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,conser,0,0
26,95-244,1995,9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,0
27,97-930,1998,10th,FirstAmendment,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,0
28,00-152,2000,9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,1
29,99-1792,2000,8th,EconomicActivity,GOVERNMENT.OFFICIAL,BUSINESS,conser,0,1
30,93-1251,1994,6th,JudicialPower,OTHER,BUSINESS,liberal,0,1
31,93-1318,1994,9th,FederalTaxation,OTHER,BUSINESS,liberal,0,1
32,93-1631,1994,10th,FirstAmendment,OTHER,BUSINESS,liberal,0,0
33,93-1677,1994,8th,EconomicActivity,OTHER,BUSINESS,conser,0,1
34,94-18,1994,7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
35,94-1592,1995,7th,Unions,OTHER,BUSINESS,conser,0,0
36,94-1654,1995,10th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
37,95-26,1995,FED,EconomicActivity,OTHER,BUSINESS,conser,1,0
38,95-83,1995,9th,JudicialPower,OTHER,BUSINESS,liberal,0,1
39,95-860,1995,9th,EconomicActivity,OTHER,BUSINESS,conser,0,0
40,95-1065,1996,2nd,FirstAmendment,OTHER,BUSINESS,liberal,1,0
41,95-1184,1996,9th,FirstAmendment,OTHER,BUSINESS,liberal,0,1
42,95-1521,1996,DC,JudicialPower,OTHER,BUSINESS,liberal,0,1
43,95-1764,1996,9th,EconomicActivity,OTHER,BUSINESS,conser,0,1
44,95-1873,1996,11th,DueProcess,OTHER,BUSINESS,conser,1,0
45,95-789,1996,9th,JudicialPower,OTHER,BUSINESS,conser,0,1
46,96-511,1996,3rd,FirstAmendment,OTHER,BUSINESS,liberal,0,0
47,96-1470,1997,9th,EconomicActivity,OTHER,BUSINESS,conser,0,1
48,96-1578,1997,5th,JudicialPower,OTHER,BUSINESS,conser,0,1
49,96-1971,1997,5th,CriminalProcedure,OTHER,BUSINESS,liberal,1,1
50,96-871,1997,7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
51,97-5310,1997,11th,EconomicActivity,OTHER,BUSINESS,conser,0,0
52,97-704,1997,DC,JudicialPower,OTHER,BUSINESS,conser,0,0
53,97-1130,1998,FED,EconomicActivity,OTHER,BUSINESS,liberal,0,0
54,97-1536,1998,9th,CivilRights,OTHER,BUSINESS,liberal,0,1
55,97-1642,1998,9th,EconomicActivity,OTHER,BUSINESS,liberal,0,1
56,98-470,1998,5th,JudicialPower,OTHER,BUSINESS,conser,0,1
57,98-531,1998,FED,EconomicActivity,OTHER,BUSINESS,liberal,1,0
